incident_count,avg_age,pct_armed,pct_mental,Median Income_imputed,poverty_rate_imputed,percent_completed_hs_imputed,share_white_imputed,share_black_imputed
1,33.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,28.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
1,44.0,0.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,35.0,1.0,0.0,47668.0,16.8,86.8,81.1,1.9
9,37.22222222222222,0.8888888888888888,0.2222222222222222,47668.0,16.8,86.8,81.1,1.9
1,29.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
1,44.0,1.0,1.0,47668.0,16.8,86.8,81.1,1.9
1,79.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
1,31.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
2,51.0,1.0,0.5,35313.0,29.0,76.3,55.2,16.3
1,40.0,1.0,1.0,47668.0,16.8,86.8,81.1,1.9
1,77.0,0.0,0.0,47668.0,16.8,86.8,81.1,1.9
1,48.0,1.0,0.0,41250.0,16.5,85.5,100.0,0.0
1,49.0,1.0,1.0,35313.0,29.0,76.3,55.2,16.3
1,30.0,1.0,0.0,47668.0,16.8,86.8,81.1,1.9
1,27.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
2,65.5,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
2,45.5,0.5,0.5,35313.0,29.0,76.3,55.2,16.3
1,29.0,1.0,0.0,41250.0,16.5,85.5,100.0,0.0
1,40.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
25,33.52,0.88,0.12,70848.0,18.0,89.3,38.5,50.7
2,41.5,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,47.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,56.0,1.0,0.0,47668.0,16.8,86.8,81.1,1.9
2,37.5,1.0,0.0,41250.0,16.5,85.5,100.0,0.0
1,35.0,1.0,0.0,41250.0,16.5,85.5,100.0,0.0
1,39.0,1.0,1.0,41250.0,16.5,85.5,100.0,0.0
1,27.0,1.0,0.0,41250.0,16.5,85.5,100.0,0.0
1,34.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
2,35.5,1.0,1.0,41250.0,16.5,85.5,100.0,0.0
2,47.0,1.0,0.5,35313.0,29.0,76.3,55.2,16.3
1,41.0,1.0,0.0,47668.0,16.8,86.8,81.1,1.9
3,36.666666666666664,1.0,0.3333333333333333,35313.0,29.0,76.3,55.2,16.3
1,55.0,0.0,1.0,35313.0,29.0,76.3,55.2,16.3
1,38.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,53.0,1.0,0.0,35313.0,29.0,76.3,55.2,16.3
1,66.0,1.0,0.0,47668.0,16.8,86.8,81.1,1.9
2,33.0,1.0,0.5,35313.0,29.0,76.3,55.2,16.3
1,25.0,0.0,0.0,35313.0,29.0,76.3,55.2,16.3
